player,suggest_1,sugges_score_1,suggest_2,sugges_score_2,suggest_3,sugges_score_3
govlrqwwk,pjnmgdak,93.83013,kpzowkno,92.88772,zgpnpypz,88.35215
govlrrnmw,vnygzgbg,100.01704,dvaqlpbg,98.58307,pjokwvqy,98.07582
gqanaqdk,bbzrkjpg,183.07486,oqrwvjbq,98.00672,azjoqmpa,97.33906
gqanpbjk,wqoppbvm,176.46972,mmrknamp,96.1053,pjbrmlnj,96.01408
gqldavaq,kpyrwobz,99.67354,rbqqjwjr,97.97563,ygbmogzo,95.42801
gqldbabb,azbadykb,97.14789,jbvmykdr,95.97027,oqrpdnbb,95.83284
gqldjmgn,dvjjrvqn,94.32713,dvprvqor,92.86726,nnyygakb,92.10749
gqldlvvd,gqanpbjk,94.20266,azlnyynr,92.92197,bbzrkjpg,91.53743
gqldmwqd,kpzowkno,185.77544,azojmzgj,177.35622,jboozwlw,169.0219
gqldnlgb,zgyqwrbq,98.4574,oqzjmkpg,95.72392,lvdrajaq,95.25978
gqnanlpn,kpyrwobz,99.67354,rbqqjwjr,97.97563,ygbmogzo,95.42801
gqnanzbo,dvayndgy,96.98826,dvaqjqbv,96.32017,jbawvlnn,94.48756
gqrbgqlz,lmyomann,109.21202,zgpwqgja,98.12363,zgbpaonm,92.50438
gqrbqdzn,dvlzrwon,93.26063,lvbbvwrv,92.70374,ygnyjzzj,90.96693
gqrbypzk,wqddqqym,93.18281,dvaqvkqq,92.52524,pjowmvgl,91.38386
gqrrmqnz,lmyomann,109.21202,zgpwqgja,98.12363,gqrbgqlz,95.27897
gqwjmlgq,dvaqjqbv,288.96051,ygzjybop,182.881,vnjwrqkm,182.10988
gqwwgdrr,mmgwbyqz,180.54248,wvvnmrng,100.43349,vnyzdaqo,99.37332
gqwwgnob,rrwbbapo,101.68072,rbvzmlov,97,oqrwqwlo,95.47502
gqwwgqlg,bbzrkjpg,91.53743,dvprkgyd,90.90219,dvprljnn,90.19447
gqwwkkyo,dvjjaddg,92.62242,vnjjnoyw,91.66325,bbnnbadp,89.56212
gqwwvoog,azbadykb,97.14789,jbvmykdr,95.97027,oqrpdnbb,95.83284
gqwwvrrr,mmrknamp,96.1053,pjbrmlnj,96.01408,gqanpbjk,94.20266
gqynnanj,ygwnknvw,95.05236,jbolowyl,92.57512,qzqnwboz,92.25907
jbawvlnn,mmbnkrbn,182.31142,vnponlbq,181.4249,kpoggymm,179.76322
jbdrnpnp,dvnpmody,90.97233,azyqnzlr,90.11033,kpdrqgrk,88.53113
jbljndmd,bbzrkjpg,91.53743,dvprkgyd,90.90219,dvprljnn,90.19447
jbljogbp,koaalwdk,152.96522,jrqbmrzv,97.77633,lvaoyyda,96.74506
